Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
national-league-north,,Alfreton Town,Brackley Town,3,4,A
national-league-north,,Alfreton Town,Buxton,3,2,H
national-league-north,,Alfreton Town,Chester,2,2,D
national-league-north,,Alfreton Town,Chorley,1,0,H
national-league-north,,Alfreton Town,Curzon Ashton,0,1,A
national-league-north,,Alfreton Town,Darlington,1,1,D
national-league-north,,Alfreton Town,Farsley Celtic,2,1,H
national-league-north,,Alfreton Town,Hereford,0,0,D
national-league-north,,Alfreton Town,Kidderminster Harriers,0,2,A
national-league-north,,Alfreton Town,King's Lynn Town,3,0,H
national-league-north,,Alfreton Town,Leamington,1,0,H
national-league-north,,Alfreton Town,Marine,1,0,H
national-league-north,,Alfreton Town,Needham Market,2,3,A
national-league-north,,Alfreton Town,Oxford City,1,1,D
national-league-north,,Alfreton Town,Peterborough Sports,2,0,H
national-league-north,,Alfreton Town,Radcliffe,2,1,H
national-league-north,,Alfreton Town,Rushall Olympic,1,1,D
national-league-north,,Alfreton Town,Scarborough Athletic,1,1,D
national-league-north,,Alfreton Town,Scunthorpe United,0,2,A
national-league-north,,Alfreton Town,South Shields,2,4,A
national-league-north,,Alfreton Town,Southport,0,2,A
national-league-north,,Alfreton Town,Spennymoor Town,0,1,A
national-league-north,,Alfreton Town,Warrington Town,2,2,D
national-league-north,,Brackley Town,Alfreton Town,2,0,H
national-league-north,,Brackley Town,Buxton,0,1,A
national-league-north,,Brackley Town,Chester,2,1,H
national-league-north,,Brackley Town,Chorley,0,2,A
national-league-north,,Brackley Town,Curzon Ashton,4,0,H
national-league-north,,Brackley Town,Darlington,2,1,H
national-league-north,,Brackley Town,Farsley Celtic,5,0,H
national-league-north,,Brackley Town,Hereford,1,2,A
national-league-north,,Brackley Town,Kidderminster Harriers,0,1,A
national-league-north,,Brackley Town,King's Lynn Town,0,1,A
national-league-north,,Brackley Town,Leamington,2,1,H
national-league-north,,Brackley Town,Marine,1,0,H
national-league-north,,Brackley Town,Needham Market,2,1,H
national-league-north,,Brackley Town,Oxford City,1,0,H
national-league-north,,Brackley Town,Peterborough Sports,1,0,H
national-league-north,,Brackley Town,Radcliffe,0,1,A
national-league-north,,Brackley Town,Rushall Olympic,6,1,H
national-league-north,,Brackley Town,Scarborough Athletic,2,0,H
national-league-north,,Brackley Town,Scunthorpe United,0,3,A
national-league-north,,Brackley Town,South Shields,1,0,H
national-league-north,,Brackley Town,Southport,1,0,H
national-league-north,,Brackley Town,Spennymoor Town,4,1,H
national-league-north,,Brackley Town,Warrington Town,0,0,D
national-league-north,,Buxton,Alfreton Town,3,2,H
national-league-north,,Buxton,Brackley Town,0,2,A
national-league-north,,Buxton,Chester,2,4,A
national-league-north,,Buxton,Chorley,1,0,H
national-league-north,,Buxton,Curzon Ashton,0,1,A
national-league-north,,Buxton,Darlington,2,0,H
national-league-north,,Buxton,Farsley Celtic,2,1,H
