Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
northern-premier-league-premier,,Ashton United,Atherton Collieries,3,0,H
northern-premier-league-premier,,Ashton United,Bamber Bridge,3,0,H
northern-premier-league-premier,,Ashton United,Belper Town,3,1,H
northern-premier-league-premier,,Ashton United,FC United of Manchester,0,5,A
northern-premier-league-premier,,Ashton United,Gainsborough Trinity,2,3,A
northern-premier-league-premier,,Ashton United,Guiseley,2,0,H
northern-premier-league-premier,,Ashton United,Hyde United,0,6,A
northern-premier-league-premier,,Ashton United,Lancaster City,2,4,A
northern-premier-league-premier,,Ashton United,Liversedge,1,2,A
northern-premier-league-premier,,Ashton United,Marine,1,1,D
northern-premier-league-premier,,Ashton United,Marske United,1,2,A
northern-premier-league-premier,,Ashton United,Matlock Town,0,1,A
northern-premier-league-premier,,Ashton United,Morpeth Town,1,0,H
northern-premier-league-premier,,Ashton United,Nantwich Town,0,1,A
northern-premier-league-premier,,Ashton United,Radcliffe,1,2,A
northern-premier-league-premier,,Ashton United,South Shields,1,1,D
northern-premier-league-premier,,Ashton United,Stafford Rangers,1,1,D
northern-premier-league-premier,,Ashton United,Stalybridge Celtic,2,1,H
northern-premier-league-premier,,Ashton United,Warrington Rylands 1906,3,1,H
northern-premier-league-premier,,Ashton United,Warrington Town,2,1,H
northern-premier-league-premier,,Ashton United,Whitby Town,0,1,A
northern-premier-league-premier,,Atherton Collieries,Ashton United,2,0,H
northern-premier-league-premier,,Atherton Collieries,Bamber Bridge,0,3,A
northern-premier-league-premier,,Atherton Collieries,Belper Town,1,1,D
northern-premier-league-premier,,Atherton Collieries,FC United of Manchester,1,0,H
northern-premier-league-premier,,Atherton Collieries,Gainsborough Trinity,1,1,D
northern-premier-league-premier,,Atherton Collieries,Guiseley,2,1,H
northern-premier-league-premier,,Atherton Collieries,Hyde United,0,1,A
northern-premier-league-premier,,Atherton Collieries,Lancaster City,1,1,D
northern-premier-league-premier,,Atherton Collieries,Liversedge,0,4,A
northern-premier-league-premier,,Atherton Collieries,Marine,0,1,A
northern-premier-league-premier,,Atherton Collieries,Marske United,2,0,H
northern-premier-league-premier,,Atherton Collieries,Matlock Town,0,1,A
northern-premier-league-premier,,Atherton Collieries,Morpeth Town,1,1,D
northern-premier-league-premier,,Atherton Collieries,Nantwich Town,2,0,H
northern-premier-league-premier,,Atherton Collieries,Radcliffe,1,1,D
northern-premier-league-premier,,Atherton Collieries,South Shields,0,2,A
northern-premier-league-premier,,Atherton Collieries,Stafford Rangers,1,2,A
northern-premier-league-premier,,Atherton Collieries,Stalybridge Celtic,1,1,D
northern-premier-league-premier,,Atherton Collieries,Warrington Rylands 1906,2,0,H
northern-premier-league-premier,,Atherton Collieries,Warrington Town,1,1,D
northern-premier-league-premier,,Atherton Collieries,Whitby Town,1,3,A
northern-premier-league-premier,,Bamber Bridge,Ashton United,1,2,A
northern-premier-league-premier,,Bamber Bridge,Atherton Collieries,2,0,H
northern-premier-league-premier,,Bamber Bridge,Belper Town,5,1,H
northern-premier-league-premier,,Bamber Bridge,FC United of Manchester,2,1,H
northern-premier-league-premier,,Bamber Bridge,Gainsborough Trinity,1,1,D
northern-premier-league-premier,,Bamber Bridge,Guiseley,2,1,H
northern-premier-league-premier,,Bamber Bridge,Hyde United,1,0,H
northern-premier-league-premier,,Bamber Bridge,Lancaster City,2,1,H
northern-premier-league-premier,,Bamber Bridge,Liversedge,2,2,D
northern-premier-league-premier,,Bamber Bridge,Marine,1,1,D
northern-premier-league-premier,,Bamber Bridge,Marske United,2,2,D
northern-premier-league-premier,,Bamber Bridge,Matlock Town,5,1,H
northern-premier-league-premier,,Bamber Bridge,Morpeth Town,1,0,H
northern-premier-league-premier,,Bamber Bridge,Nantwich Town,1,0,H
northern-premier-league-premier,,Bamber Bridge,Radcliffe,1,3,A
northern-premier-league-premier,,Bamber Bridge,South Shields,2,1,H
northern-premier-league-premier,,Bamber Bridge,Stafford Rangers,2,1,H
northern-premier-league-premier,,Bamber Bridge,Stalybridge Celtic,1,1,D
northern-premier-league-premier,,Bamber Bridge,Warrington Rylands 1906,1,0,H
northern-premier-league-premier,,Bamber Bridge,Warrington Town,3,2,H
northern-premier-league-premier,,Bamber Bridge,Whitby Town,2,1,H
northern-premier-league-premier,,Belper Town,Ashton United,0,4,A
northern-premier-league-premier,,Belper Town,Atherton Collieries,2,0,H
northern-premier-league-premier,,Belper Town,Bamber Bridge,0,2,A
northern-premier-league-premier,,Belper Town,FC United of Manchester,1,4,A
northern-premier-league-premier,,Belper Town,Gainsborough Trinity,1,4,A
northern-premier-league-premier,,Belper Town,Guiseley,1,3,A
northern-premier-league-premier,,Belper Town,Hyde United,1,1,D
northern-premier-league-premier,,Belper Town,Lancaster City,1,2,A
